label,id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,time_interval,same_id_time_interval
BENIGN,2016,0,65,73,151,0,-1,-1,-1,0.0019649999999999945,0.0019649999999999945
BENIGN,2025,2,1,244,85,85,85,85,85,0.001956000000000069,0.001956000000000069
BENIGN,2021,2,1,246,85,85,85,85,85,0.00022999999999995246,0.00022999999999995246
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0016890000000000516,0.0016890000000000516
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0009950000000000792,0.0009950000000000792
BENIGN,2017,2,1,73,85,85,85,85,85,0.01913100000000001,0.01913100000000001
BENIGN,2016,0,65,73,150,0,-1,-1,-1,0.0010049999999999226,0.0010049999999999226
BENIGN,2023,2,1,245,85,85,85,85,85,0.0019089999999999385,0.0019089999999999385
BENIGN,2021,2,1,246,85,85,85,85,85,0.000992000000000104,0.000992000000000104
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0009660000000000224,0.0009660000000000224
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0009989999999999721,0.0009989999999999721
BENIGN,2017,2,1,73,85,85,85,85,85,0.020048999999999984,0.020048999999999984
BENIGN,2019,2,1,17,85,85,85,85,85,0.0019329999999999625,0.0019329999999999625
BENIGN,2016,0,65,73,148,0,-1,-1,-1,0.00019199999999996997,0.00019199999999996997
BENIGN,2021,2,1,246,85,85,85,85,85,0.0018340000000001133,0.0018340000000001133
BENIGN,2018,0,65,17,148,-1,-1,-1,-1,0.00017000000000000348,0.00017000000000000348
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001802999999999999,0.001802999999999999
BENIGN,2017,2,1,73,85,85,85,85,85,0.020160999999999873,0.020160999999999873
BENIGN,2016,0,65,73,147,0,-1,-1,-1,0.0009860000000001534,0.0009860000000001534
BENIGN,2019,2,1,13,85,85,85,85,85,0.0010429999999999051,0.0010429999999999051
BENIGN,2021,2,1,246,85,85,85,85,85,0.0018500000000001293,0.0018500000000001293
BENIGN,2018,0,65,13,147,-1,-1,-1,-1,0.00017000000000000348,0.00017000000000000348
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0017639999999998768,0.0017639999999998768
BENIGN,2017,2,1,73,85,85,85,85,85,0.02010500000000004,0.02010500000000004
BENIGN,2025,2,1,244,85,85,85,85,85,0.0009649999999998826,0.0009649999999998826
BENIGN,2016,0,65,73,146,0,-1,-1,-1,0.0010250000000000536,0.0010250000000000536
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0009510000000001462,0.0009510000000001462
BENIGN,2021,2,1,246,85,85,85,85,85,0.0009949999999998571,0.0009949999999998571
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019730000000000025,0.0019730000000000025
BENIGN,2017,2,1,73,85,85,85,85,85,0.02014500000000008,0.02014500000000008
BENIGN,2023,2,1,245,85,85,85,85,85,0.00023499999999998522,0.00023499999999998522
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0007269999999999222,0.0007269999999999222
BENIGN,2016,0,65,73,144,0,-1,-1,-1,0.0001740000000001185,0.0001740000000001185
BENIGN,2021,2,1,246,85,85,85,85,85,0.002850999999999937,0.002850999999999937
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019210000000000615,0.0019210000000000615
BENIGN,2019,2,1,17,85,85,85,85,85,0.01899699999999993,0.01899699999999993
BENIGN,2017,2,1,73,85,85,85,85,85,0.0011209999999999276,0.0011209999999999276
BENIGN,2018,0,65,17,143,-1,-1,-1,-1,0.0001740000000001185,0.0001740000000001185
BENIGN,2016,0,65,73,143,0,-1,-1,-1,0.001643000000000061,0.001643000000000061
BENIGN,2021,2,1,246,85,85,85,85,85,0.0019959999999998868,0.0019959999999998868
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019659999999999123,0.0019659999999999123
BENIGN,2019,2,1,13,85,85,85,85,85,0.01916899999999999,0.01916899999999999
BENIGN,2017,2,1,73,85,85,85,85,85,0.0010300000000000864,0.0010300000000000864
BENIGN,2018,0,65,13,142,-1,-1,-1,-1,0.00016900000000008575,0.00016900000000008575
BENIGN,2016,0,65,73,142,0,-1,-1,-1,0.0007439999999998559,0.0007439999999998559
BENIGN,2021,2,1,246,85,85,85,85,85,0.0029130000000001655,0.0029130000000001655
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001994999999999969,0.001994999999999969
BENIGN,2025,2,1,244,85,85,85,85,85,0.018084999999999907,0.018084999999999907
BENIGN,2017,2,1,73,85,85,85,85,85,0.0020569999999999755,0.0020569999999999755
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0009660000000000224,0.0009660000000000224
BENIGN,2016,0,65,73,140,0,-1,-1,-1,0.0009930000000000216,0.0009930000000000216
BENIGN,2021,2,1,246,85,85,85,85,85,0.002027000000000001,0.002027000000000001
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001822999999999908,0.001822999999999908
BENIGN,2023,2,1,245,85,85,85,85,85,0.017188000000000203,0.017188000000000203
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.001927000000000012,0.001927000000000012
BENIGN,2017,2,1,73,85,85,85,85,85,0.0010639999999999539,0.0010639999999999539
BENIGN,2016,0,65,73,139,0,-1,-1,-1,0.0009799999999999809,0.0009799999999999809
BENIGN,2021,2,1,246,85,85,85,85,85,0.0029959999999999987,0.0029959999999999987
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0018659999999999233,0.0018659999999999233
BENIGN,2019,2,1,17,85,85,85,85,85,0.016134000000000093,0.016134000000000093
BENIGN,2018,0,65,17,138,-1,-1,-1,-1,0.001962999999999937,0.001962999999999937
BENIGN,2017,2,1,73,85,85,85,85,85,0.0020480000000000498,0.0020480000000000498
BENIGN,2016,0,65,73,138,0,-1,-1,-1,0.0019499999999998963,0.0019499999999998963
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020370000000000665,0.0020370000000000665
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001951000000000036,0.001951000000000036
BENIGN,2019,2,1,13,85,85,85,85,85,0.016048000000000062,0.016048000000000062
BENIGN,2018,0,65,13,137,-1,-1,-1,-1,0.0019889999999997965,0.0019889999999997965
